/comp/40/bin/images/flowers.ppm,rotated 180 degrees,row-major,1002264
/comp/40/bin/images/flowers.ppm,rotated 180 degrees,row-major,1013172
/comp/40/bin/images/flowers.ppm,rotated 180 degrees,row-major,1004914
/comp/40/bin/images/flowers.ppm,rotated 180 degrees,row-major,1000647
/comp/40/bin/images/flowers.ppm,rotated 180 degrees,row-major,1013617
/comp/40/bin/images/flowers.ppm,rotated 180 degrees,row-major,835
/comp/40/bin/images/flowers.ppm,rotated 90 degrees,row-major,955
/comp/40/bin/images/flowers.ppm,rotated 90 degrees,row-major,33334554
/comp/40/bin/images/flowers.ppm,rotated 90 degrees,row-major,33922375
from stdin,rotated 90 degrees,row-major,34215842
from stdin,rotated 90 degrees,row-major,78454932
from stdin,rotated 90 degrees,row-major,78880991
from stdin,rotated 90 degrees,block-major,1787633
from stdin,rotated 90 degrees,block-major,1807035
from stdin,rotated 90 degrees,block-major,1788943
from stdin,rotated 90 degrees,row-major,1009907
from stdin,rotated 90 degrees,block-major,1815154
from stdin,rotated 90 degrees,block-major,1791149
from stdin,rotated 90 degrees,block-major,1813933
from stdin,rotated 180 degrees,block-major,1656956
from stdin,rotated 0 degrees,block-major,1525407
from stdin,rotated 0 degrees,block-major,1476818
from stdin,rotated 180 degrees,block-major,1681859
from stdin,rotated 90 degrees,block-major,1797538
from stdin,rotated 270 degrees,block-major,1826976
from stdin,rotated 270 degrees,block-major,1800812
from stdin,rotated 0 degrees,block-major,1492120
from stdin,rotated 180 degrees,block-major,1657870
from stdin,rotated 90 degrees,block-major,1796382
from stdin,rotated 90 degrees,block-major,1786273
from stdin,rotated 90 degrees,block-major,1783261
from stdin,rotated 90 degrees,block-major,1790544
from stdin,rotated 90 degrees,block-major,1805194
from stdin,rotated 90 degrees,block-major,1819883
from stdin,rotated 180 degrees,row-major,1236083
from stdin,rotated 180 degrees,row-major,1004707
from stdin,rotated 180 degrees,row-major,1017794
from stdin,rotated 180 degrees,row-major,33973554
from stdin,rotated 180 degrees,row-major,33821873
from stdin,rotated 180 degrees,row-major,34377608
from stdin,rotated 180 degrees,row-major,34915045
from stdin,rotated 180 degrees,row-major,34235100
from stdin,rotated 180 degrees,row-major,34653429
from stdin,rotated 180 degrees,row-major,33952590
from stdin,rotated 180 degrees,row-major,34350121
from stdin,rotated 180 degrees,row-major,1002016
from stdin,rotated 180 degrees,block-major,1683770
from stdin,rotated 180 degrees,block-major,1656085
from stdin,rotated 180 degrees,block-major,1645569
from stdin,rotated 180 degrees,block-major,1652913
fromwindcave.jpg,rotated 90 degrees,block-major,423000741
fromwindcave.jpg,rotated 90 degrees,block-major,925231350
fromwindcave.jpg,rotated 90 degrees,block-major,3679753904
fromwindcave.jpg,rotated 90 degrees,row-major,4348555008
fromwindcave.jpg,rotated 90 degrees,block-major,3727199165
fromwindcave.jpg,rotated 90 degrees,column-major,4179953686
fromwindcave.jpg,rotated 180 degrees,column-major,5452220474
fromwindcave.jpg,rotated 180 degrees,row-major,2240628306
fromwindcave.jpg,rotated 180 degrees,block-major,3112300492
animals.jpg,rotated 180 degrees,column-major,319008461
animals.jpg,rotated 180 degrees,column-major,1022089471
animals.jpg,rotated 180 degrees,column-major,1173062691
animals.jpg,rotated 180 degrees,column-major,3850620927
animals.jpg,rotated 180 degrees,row-major,1610147833
animals.jpg,rotated 180 degrees,block-major,2245149230
animals.jpg,rotated 90 degrees,row-major,2984689291
animals.jpg,rotated 90 degrees,column-major,2567467191
animals.jpg,rotated 90 degrees,block-major,2563775418
flowers.ppm,rotated 180 degrees,block-major,68760782
flowers.ppm,rotated 180 degrees,block-major,68661450
flowers.ppm,rotated 180 degrees,row-major,34138650
flowers.ppm,rotated 180 degrees,column-major,34060705
flowers.ppm,rotated 180 degrees,block-major,68077880
flowers.ppm,rotated 180 degrees,block-major,65023084
flowers.ppm,rotated 180 degrees,block-major,47998721
flowers.ppm,rotated 180 degrees,block-major,66589654
flowers.ppm,rotated 180 degrees,block-major,68072679
flowers.ppm,rotated 180 degrees,block-major,51101894
flowers.ppm,rotated 180 degrees,block-major,51290365
flowers.ppm,rotated 90 degrees,block-major,49454149
flowers.ppm,rotated 90 degrees,column-major,34719177
flowers.ppm,rotated 0 degrees,column-major,33971435
flowers.ppm,rotated 0 degrees,block-major,52527211
flowers.ppm,rotated 0 degrees,block-major,52783496
flowers.ppm,rotated 90 degrees,column-major,34583994
flowers.ppm,rotated 90 degrees,block-major,49660641
flowers.ppm,rotated 90 degrees,row-major,35549951
flowers.ppm,rotated 90 degrees,column-major,34982606
flowers.ppm,rotated 90 degrees,column-major,34397518
flowers.ppm,rotated 90 degrees,block-major,49999419
flowers.ppm,rotated 90 degrees,block-major,49587852
from stdin,rotated 90 degrees,row-major,74671646
from stdin,rotated 90 degrees,row-major,75732659
from stdin,rotated 90 degrees,row-major,2057804615
from stdin,rotated 90 degrees,column-major,2039285003
from stdin,rotated 90 degrees,block-major,2451719964
from stdin,rotated 180 degrees,block-major,2478961790
from stdin,rotated 180 degrees,block-major,2469078351
from stdin,rotated 180 degrees,row-major,1974832006
from stdin,rotated 180 degrees,column-major,2008313058
